iter	Passed	Remaining
689	4324	5076
690	4330	5070
691	4337	5064
692	4343	5057
693	4349	5051
694	4355	5045
695	4362	5039
696	4368	5033
697	4374	5026
698	4381	5021
699	4387	5014
700	4393	5008
701	4399	5001
702	4405	4995
703	4412	4989
704	4418	4982
705	4424	4976
706	4431	4970
707	4437	4963
708	4443	4957
709	4450	4951
710	4456	4944
711	4461	4937
712	4467	4931
713	4474	4925
714	4480	4918
715	4485	4911
716	4492	4905
717	4498	4899
718	4504	4892
719	4509	4885
720	4516	4879
721	4521	4872
722	4527	4865
723	4534	4859
724	4539	4852
725	4545	4846
726	4552	4841
727	4558	4834
728	4564	4827
729	4570	4820
730	4576	4814
731	4582	4807
732	4587	4800
733	4593	4794
734	4599	4787
735	4604	4780
736	4610	4773
737	4616	4766
738	4622	4759
739	4628	4753
740	4633	4746
741	4639	4739
742	4645	4733
743	4651	4726
744	4657	4719
745	4662	4712
746	4668	4706
747	4674	4699
748	4682	4694
749	4689	4689
750	4695	4683
751	4701	4676
752	4706	4669
753	4712	4662
754	4718	4655
755	4724	4649
756	4729	4642
757	4735	4635
758	4741	4628
759	4748	4623
760	4754	4616
761	4759	4610
762	4765	4603
763	4771	4596
764	4777	4590
765	4783	4583
766	4789	4576
767	4794	4569
768	4800	4563
769	4806	4556
770	4811	4549
771	4817	4542
772	4823	4536
773	4828	4529
774	4834	4522
775	4840	4515
776	4845	4509
777	4851	4502
778	4857	4495
779	4863	4489
780	4868	4482
781	4875	4476
782	4881	4469
783	4886	4462
784	4892	4456
785	4898	4449
786	4903	4442
787	4909	4436
788	4915	4429
789	4921	4423
790	4927	4416
791	4933	4409
792	4939	4403
793	4944	4396
794	4950	4389
795	4956	4383
796	4962	4376
797	4968	4370
798	4974	4364
799	4980	4357
800	4986	4351
801	4992	4345
802	4998	4338
803	5004	4332
804	5011	4326
805	5017	4320
806	5024	4314
807	5029	4307
808	5036	4301
809	5042	4295
810	5048	4289
811	5054	4282
812	5060	4276
813	5066	4270
814	5073	4264
815	5079	4257
816	5085	4251
817	5091	4244
818	5097	4238
819	5103	4231
820	5109	4225
821	5115	4219
822	5121	4213
823	5127	4206
824	5133	4200
825	5139	4193
826	5146	4187
827	5152	4181
828	5157	4174
829	5163	4168
830	5170	4162
831	5175	4155
832	5181	4149
833	5193	4147
834	5200	4142
835	5206	4135
836	5212	4129
837	5218	4122
838	5224	4116
839	5230	4109
840	5236	4103
841	5242	4096
842	5248	4090
843	5253	4083
844	5259	4076
845	5265	4070
846	5271	4063
847	5277	4057
848	5282	4050
849	5288	4044
850	5294	4037
851	5300	4031
852	5306	4024
853	5311	4018
854	5317	4011
855	5323	4005
856	5329	3998
857	5335	3992
858	5340	3985
859	5346	3978
860	5352	3972
861	5358	3965
862	5363	3959
863	5369	3952
864	5375	3946
865	5381	3939
866	5387	3933
867	5392	3926
868	5398	3919
869	5404	3913
870	5409	3906
871	5415	3900
872	5421	3893
873	5427	3887
874	5433	3881
875	5439	3874
876	5445	3868
877	5450	3861
878	5456	3855
879	5462	3848
880	5469	3842
881	5475	3836
882	5481	3830
883	5488	3824
884	5495	3818
885	5502	3813
886	5508	3806
887	5514	3800
888	5521	3794
889	5527	3788
890	5533	3782
891	5539	3775
892	5545	3769
893	5552	3763
894	5558	3757
895	5564	3751
896	5570	3744
897	5576	3738
898	5582	3731
899	5587	3725
900	5593	3718
901	5600	3712
902	5606	3706
903	5613	3701
904	5620	3694
905	5626	3689
906	5633	3683
907	5639	3677
908	5646	3671
909	5653	3665
910	5659	3659
911	5665	3653
912	5671	3646
913	5684	3644
914	5692	3639
915	5698	3632
916	5703	3626
917	5709	3619
918	5715	3613
919	5721	3607
920	5727	3600
921	5733	3594
922	5739	3588
923	5745	3581
924	5751	3575
925	5756	3568
926	5762	3562
927	5768	3555
928	5774	3549
929	5780	3542
930	5785	3536
931	5791	3529
932	5797	3522
933	5803	3516
934	5809	3510
935	5814	3503
936	5820	3497
937	5826	3490
938	5832	3484
939	5837	3477
940	5843	3471
941	5849	3464
942	5855	3458
943	5861	3452
944	5866	3445
945	5872	3439
946	5878	3432
947	5884	3426
948	5889	3419
949	5895	3413
950	5901	3406
951	5906	3400
952	5912	3393
953	5918	3387
954	5924	3380
955	5930	3374
956	5935	3367
957	5941	3361
958	5947	3355
959	5953	3348
960	5959	3342
961	5965	3336
962	5970	3329
963	5976	3323
964	5982	3316
965	5988	3310
966	5994	3303
967	5999	3297
968	6005	3291
969	6011	3284
970	6017	3278
971	6023	3271
